part_number,normalized_seasonal_score,sales_last_jun,special_orders_ytd,sales_last_jul,sales_jan,sales_last_apr,sales_last_nov,months_no_sale,sales_last_jan,sales_last_aug,sales_last_may,sales_last_feb,sales_sep,description,price,quantity,sales_mar,sales_nov,negative_on_hand,sales_apr,sales_last_oct,sales_oct,margin,sales_jul,sales_aug,supplier_name,sales_dec,sales_last_sep,sales_last_mar,quantity_ordered_ytd,sales_feb,sales_jun,sales_may,sales_last_dec,cost_per_unit,total_cost,margin_percentage,sales_revenue,cogs,gross_profit,roi,rolling_3m_sales,rolling_12m_sales,12m_days_supply,3m_days_supply,1m_days_supply,turnover,3m_turnover,sell_through_rate,days_of_inventory_outstanding,order_to_sales_ratio
12127728657,-1.7310978378838222,1,0,12,0,1,6,1,6,30,7,6,0,spark plug,35.99,34,6,0,0,6,0,0,17.53,0,0,bmw group canada,0,0,6,0,0,6,6,0,18.46,627.64,48.71,863.76,443.04,420.72,94.96,12,60,206,255,0,0.2593106354585521,1.7725854205009204,63.83,1407,0.0
t2045065,0.2731359243315487,0,0,0,0,0,0,17,0,0,0,4,0,"sleeve,dia,13x43",15.99,0,0,0,0,0,0,0,5.97,0,0,triumph motorcycles,0,0,0,0,0,0,0,0,10.02,0.0,37.34,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,510,0.0
t2501072,0.0032107491560038493,0,-1,0,0,0,0,45,0,0,0,0,0,"switch,ignition,text",298.99,1,0,0,0,0,0,0,104.98,0,0,triumph motorcycles,0,0,0,0,0,0,0,0,194.01,194.01,35.11,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1350,0.0
82110901b,-0.07338618775249504,0,0,0,0,0,0,10,0,0,0,0,0,footrest pin,3.99,0,0,0,0,0,0,0,1.685,0,0,ducati,0,2,0,0,0,0,0,0,2.31,0.0,42.11,0.0,0.0,0.0,0.0,0,2,0,0,0,0.0,0.0,0.0,300,0.0
4086665,-0.03849810585817792,0,0,0,0,1,1,8,0,0,0,0,0,oil filter cup wrench 76mm- 8,14.99,2,0,0,0,0,0,0,4.5,0,0,thibault canada,0,1,0,0,0,0,0,0,10.49,20.98,30.02,0.0,0.0,0.0,0.0,0,2,365,0,0,0.0,0.0,50.0,240,0.0
46528536805,-0.025885630651959136,0,0,0,0,0,0,1,0,0,0,0,0,bump stop,5.99,1,0,0,0,0,0,0,2.31,0,0,bmw group canada,0,0,0,0,0,1,0,0,3.68,3.68,38.56,5.99,3.68,2.31,62.77,1,1,365,90,0,0.5670261941448382,0.9211514392991239,50.0,643,0.0
981074350,-0.023535199139405428,0,0,0,0,0,0,19,0,0,0,0,0,leath. jacket dc c6,969.99,1,0,0,0,0,0,0,291.69,0,0,ducati,0,0,0,0,0,0,0,0,678.3,678.3,30.07,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,570,0.0
t2017223,-0.053922055412543635,0,0,0,0,0,0,23,0,0,0,0,0,chain and sprocket kit 520,268.99,1,0,0,0,0,0,0,134.75,0,0,triumph motorcycles,0,0,0,0,0,0,0,0,134.24,134.24,50.09,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,690,0.0
t2080808,-0.07456140350877194,0,0,0,0,0,0,10,0,0,0,0,0,side stand spring,12.99,0,0,0,0,0,0,0,4.94,0,0,triumph motorcycles,0,1,0,0,0,0,0,0,8.05,0.0,38.03,0.0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,300,0.0
t2202115,0.022905402913752038,0,1,0,0,0,0,1,0,0,0,1,0,exhaust gasket,14.99,3,0,0,0,1,0,0,5.53,0,0,triumph motorcycles,0,0,0,0,0,1,1,0,9.46,28.38,36.89,44.97,28.38,16.59,58.46,2,3,364,135,0,0.8441045251752708,0.7935607573699768,70.0,432,0.0
981071224,-0.00802687289000962,0,0,0,0,0,0,19,0,0,0,0,0,rain trousers aqua m,99.99,1,0,0,0,0,0,0,30.69,0,0,ducati,0,0,0,0,0,0,0,0,69.3,69.3,30.69,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,570,0.0
76618536701,-0.02353519913940545,0,0,0,0,0,0,19,0,0,0,0,0,shirt checked women's red,38.99,1,0,0,0,0,0,0,8.5,0,0,bmw group canada,0,0,0,0,0,0,0,0,30.49,30.49,21.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,570,0.0
17310291a,0.05274683965626679,0,0,0,0,0,0,5,0,0,0,0,0,electric starter driven gear,311.99,0,0,0,0,0,0,0,63.0,0,0,ducati,0,0,0,0,1,0,0,0,248.99,0.0,20.19,311.99,248.99,63.0,25.3,0,1,0,0,0,1.5961409019519857,0.0,0.0,228,0.0
2207317,0.07702709573022401,0,0,0,1,0,0,6,0,0,0,0,0,indian motorcycle key fob,39.99,1,0,0,0,0,0,0,19.99,0,0,polaris acceptance,0,0,0,0,0,0,0,0,20.0,20.0,49.99,39.99,20.0,19.99,99.95,0,1,365,0,0,0.4939491232403062,20.0,50.0,738,0.0
