cost_per_unit,order_to_sales_ratio,supplier_name,price,description,quantity_ordered_ytd,quantity,gross_profit,roi,sell_through_rate,reorder_point,3m_days_supply,rolling_12m_sales,sales_volatility,part_status,safety_stock,part_number,total_cost,3m_turnover,days_of_inventory_outstanding,demand,sales_revenue,cogs,1m_days_supply,margin,margin_percentage,special_orders_ytd,negative_on_hand,rolling_3m_sales,12m_days_supply,obsolescence_risk,turnover,months_no_sale,sales_trend,recent_sales_trend,normalized_seasonal_score
28.96,0.0,bmw group canada,55.99,inner tube 17g with valve,0,0,27.03,93.34,0.0,0,0,1,4.358899,idle,0,36322464407,0.0,1.0344704411502055,352,0.14374632529604126,55.99,28.96,0,27.03,48.28,0,0,1,0,0.017345829494297506,1.0344704411502055,1,0.014035088,0.0,-0.053806794703645265
200.84,0.0,thibault canada,411.99,130/80b17 (65h) - fr metzeler,0,4,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,5264615,803.36,0.0,570,0.0,0.0,0.0,0,211.15,51.25,0,0,0,0,1.0,0.0,19,0.0,0.0,-0.009632247468011551
314.99,0.0,polaris acceptance,449.99,"k-pass,backrest,lck and rd,blk",0,1,540.0,42.86,80.0,0,90,4,1.719173,idle,0,2884632-266,314.99,5.575167592203368,326,0.30966832001233235,1799.96,1259.96,0,135.0,30.0,0,0,1,91,0.01735841203480959,1.119491770141496,2,0.028070176,-0.5,0.09328047891417164
81.96,0.0,triumph motorcycles,163.99,ytx16-bs,0,6,82.03,100.09,45.45,0,0,5,1.6211472,active,0,t2500592,491.76,13.659999999999998,4030,0.2618989450052044,163.99,81.96,0,82.03,50.02,0,0,0,438,0.018147936649620534,0.09056904010740983,5,-0.024561403,0.0,0.09127582952831277
10.9,0.0,ducati,21.99,"seal, oil 75x95x12",0,1,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,93040341a,10.9,0.0,2760,0.0,0.0,0.0,0,11.09,50.43,0,0,0,0,1.0,0.0,92,0.0,0.0,-0.01797401847084785
12.63,0.0,triumph motorcycles,19.99,"grip, lh",0,0,0.0,0.0,0.0,0,0,1,2.9953668,idle,0,t2043451,0.0,0.0,240,0.1420762615168597,0.0,0.0,0,7.36,36.82,0,0,0,0,0.024710779823362828,0.0,8,-0.003508772,0.0,0.00023052141779655573
23.7,0.0,triumph motorcycles,36.99,"disc, friction, clutch a",0,0,0.0,0.0,0.0,0,0,0,4.358899,obsolete,0,t1170276,0.0,0.0,450,0.0,0.0,0.0,0,13.29,35.93,0,0,0,0,1.0,0.0,15,-0.010526316,0.0,0.09030025117596449
0.06,0.0,ducati,0.99,nut,0,6,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,763106n01,0.36,0.0,1680,0.0,0.0,0.0,0,0.93,93.94,0,0,0,0,1.0,0.0,56,0.0,0.0,-0.014763269314844028
188.99,0.0,polaris acceptance,314.99,"sensor-wheel speed,rear",0,2,126.0,66.67,33.33,0,0,1,4.358899,idle,0,4014216,377.98,94.495,914,0.13518904324286912,314.99,188.99,0,126.0,40.0,0,0,0,730,0.017501903884112834,0.3991467522730393,3,0.010526316,0.0,0.08912503541968765
733.63,0.0,royal enfield,930.99,silver adventure panniers-,0,3,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,1990200,2200.89,0.0,570,0.0,0.0,0.0,0,197.36,21.2,0,0,0,0,1.0,0.0,19,0.0,0.0,0.004385964912280692
