margin,sales_apr,sales_last_jan,part_number,description,sales_jan,sales_last_mar,sales_may,sales_jun,sales_aug,sales_dec,sales_last_may,sales_last_feb,special_orders_ytd,sales_last_aug,sales_mar,quantity_ordered_ytd,sales_last_sep,negative_on_hand,sales_last_oct,sales_last_jul,sales_sep,sales_jul,sales_feb,sales_oct,sales_last_apr,sales_last_nov,supplier_name,price,months_no_sale,sales_last_jun,sales_nov,sales_last_dec,quantity,cost_per_unit,total_cost,margin_percentage,sales_revenue,cogs,gross_profit,roi,seasonality_strength,consistency,anomaly_score,recurrence_score,rolling_3m_sales,rolling_12m_sales,12m_days_supply,3m_days_supply,1m_days_supply,turnover,3m_turnover,sell_through_rate,days_of_inventory_outstanding,order_to_sales_ratio,sales_trend,sales_volatility,recent_sales_trend,demand
16.45,0,0,286278112,ww ch off shoulder tee 2xl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,polaris acceptance,46.99,3,0,0,0,0,30.54,0.0,35.01,46.99,30.54,16.45,53.86,10.0,1.5759882833025602,3.4641016151377544,0.2222222222222222,0,1,0,0,0,1.2998510321344967,0.0,100.0,280,0.0,0.009774436,4.472136,0.0,0.17204875225002636
13.52,0,0,153219,oil 2t mx race synt 1l liquimo,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,kimpex,20.99,2,0,0,0,8,7.47,59.76,64.41,20.99,7.47,13.52,180.99,0.44272059755772813,2.868567009526795,5.218827391265547,0.2222222222222222,1,1,2920,720,4,0.0758722258900005,0.0758722258900005,11.11,4810,0.0,-0.020300752,2.2004783,-0.5,0.8315525351906794
292.6,1,0,t1221112,"kit,sprag and gear",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,triumph motorcycles,756.99,4,0,0,0,0,464.39,0.0,38.65,756.99,464.39,292.6,63.01,0.280575614273374,9.999999999999988,3.4641016151377544,0.0,0,1,0,0,0,0.0,0.0,0.0,120,0.0,0.008270676,4.472136,0.0,0.5744288656389225
3.69,0,0,65440242a,throttle control - front,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ducati,13.99,56,0,0,0,1,10.3,10.3,26.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1680,0.0,0.0,0.0,0.0,0.0
29.75,0,0,286089706,ww denton fingerless glv - l,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,polaris acceptance,84.99,15,0,0,0,1,55.24,55.24,35.0,0.0,0.0,0.0,0.0,0.280575614273374,9.999999999999988,3.4641016151377544,0.0,0,0,0,0,0,0.0,0.0,0.0,450,0.0,-0.008270676,4.472136,0.0,0.0
9.35,0,3,02-13777s,8mmx40 chr buttonhead (10),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,motovan,17.99,19,0,0,0,0,8.64,0.0,51.97,0.0,0.0,0.0,0.0,10.0,0.3414802408943916,3.4641016151377544,0.0,0,0,0,0,0,0.0,0.0,0.0,570,0.0,-0.042857144,4.472136,0.0,0.0
1.75,0,0,110-bp-s,10amp mini fuse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,bumper to bumper,2.19,16,0,0,0,9,0.44,3.96,79.91,0.0,0.0,0.0,0.0,10.0,1.57598828330256,3.4641016151377544,0.2222222222222222,0,0,0,0,5,0.0,0.0,0.0,480,0.0,-0.009774436,4.472136,0.0,0.0
3.43,0,0,32717712836,countersunk head screw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw group canada,8.99,20,0,0,0,2,5.56,11.12,38.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0
6.4,1,0,79925941a,complete spring,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ducati,20.99,3,0,0,0,0,14.59,0.0,30.49,41.98,29.18,12.8,43.87,0.280575614273374,9.999999999999988,3.4641016151377544,0.0,0,2,0,0,0,0.0,0.0,0.0,90,0.0,0.018045112,3.077935,0.0,0.2035975671357177
45.99,0,0,31428548880,set of gaskets,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw group canada,125.99,15,0,0,0,7,80.0,560.0,36.5,0.0,0.0,0.0,0.0,0.280575614273374,9.999999999999988,3.4641016151377544,0.0,0,0,0,0,3,0.0,0.0,0.0,450,0.0,-0.033082705,4.472136,0.0,0.0
