PART NUM.,DESC.,SUPPLIER,O.H,VALUE,MAKE,MODEL,YEAR,MNS,COST

OPTEON1234YF,FREON PER OZ,Honda,1114,7218.72,Honda,"Fit, Odyssey, Passport, Ridgeline","2018, 2019, 2020",0,6.48

520,OIL,Honda,701,2888.12,Honda,Odyssey,2022,0,4.12

94109-14000,WASHER DRAIN 14MM,Honda,534,197.58,Honda,"CR-V, HR-V, Pilot","2021, 2022",0,0.37

39165-THR-AC0,STRGHT FEEDER BLU,Honda,474,3521.82,Honda,"Odyssey, Ridgeline",2022,0,7.43

39817-THR-305,SPLICE BOX,Honda,329,924.49,Honda,Crosstour,2023,0,2.81

15400-RTA-003,OIL FILTER CARTRI,Honda,260,2028,Honda,"Civic, Fit",2011,0,7.8

91505-TM8-003,CLIP BUMPER,Honda,140,63,Honda,CR-V,2011,1,0.45

08200-HCF2C,HCF2 FLUID,Honda,139,2292.11,Honda,"Crosstour, Fit, Passport","2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",1,16.49

CA668-44,HONDA ATF-DW1 1LT,Honda,130,1228.5,Honda,"CR-V, Clarity, Passport, Ridgeline, S2000",2020,1,9.45

39165-THR-AB0,STRGHT FEEDER GRN,Honda,125,928.75,Honda,"Element, Fit, Ridgeline, S2000",2013,1,7.43

39165-THR-AA0,STRGHT FEEDER RED,Honda,111,824.73,Honda,Clarity,2023,1,7.43

90471-PX4-000,WASHER PLUG DRAIN,Honda,97,295.85,Honda,"CR-V, Fit",2012,1,3.05

42700-TBA-A12,WHEEL DISK 16X7J,Honda,84,5940.48,Honda,"CR-Z, Clarity, Passport",2017,1,70.72

OGIO,HONDA GOLF SHIRT,Honda,80,3061.6,Honda,"CR-Z, Passport, Pilot, Ridgeline","2021, 2022, 2023",1,38.27

0W20,0W20 BULK,Honda,79,469.26,Honda,"Clarity, Element","2020, 2021, 2022",1,5.94

08200-9007C,DPF II FLUID,Honda,78,776.1,Honda,"CR-Z, Fit, Pilot, S2000","2022, 2023",1,9.95

31500-CCA-H500R,BATT 51R 500CCA,Honda,69,9553.74,Honda,"CR-Z, Pilot, S2000","2021, 2022, 2023",1,138.46

KEY,WAVE-DOOR,Honda,67,89.11,Honda,Element,2023,1,1.33

1118,BLIZZ WS90 215/55R16,Honda,65,12367.55,Honda,Insight,"2011, 2012, 2013, 2014, 2015, 2016, 2017",1,190.27

CR2032,LITHIUM,Honda,61,121.39,Honda,Odyssey,"2022, 2023",1,1.99

CA668-06,HONDA 5W20,Honda,60,372.6,Honda,"Crosstour, Odyssey","2020, 2021",1,6.21

08700-WLG00,WHITE LITH GREASE,Honda,59,318.01,Honda,"Element, HR-V",2013,1,57.84

42700-TR3-C02,WHEEL DISK 15X6 1,Honda,59,3412.56,Honda,"CR-Z, Civic, Element, Pilot",2021,1,5.39

75316-S9A-004,CLIP DOOR LWR GAR,Honda,58,244.76,Honda,"Odyssey, Passport, Ridgeline",2012,1,4.22

R134,A/C CHARGE,Honda,57,1172.49,Honda,"Accord, Civic, Clarity","2021, 2022, 2023",1,20.57

75315-S9A-004,CLIP SIDE PROTR,Honda,56,153.44,Honda,"Civic, HR-V",2021,1,2.74

TOTE2,LUNCH BAG TOTE GREY,Honda,53,877.15,Honda,Ridgeline,"2022, 2023",1,16.55

CA66913,ENG SHAMPOO 380G,Honda,52,257.4,Honda,Element,2013,1,4.95

CA668-01,HONDA 5W30 (SJ),Honda,51,267.75,Honda,"Accord, CR-Z, Crosstour","2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",1,5.25

08W17-PC4300,"17"" STEEL WHEEL",Honda,50,4228,Honda,"Civic, Crosstour, Fit, HR-V, Pilot",2011,1,84.56

