,part_number,description,quantity,price,inventory_category,annual_days_supply
0,004hf113,hi-flo o-filt hon 15412-hm5-a1,1,4.99,non-essential,360.0
1,0069922bc,new style universal cruise ctr,1,18.99,nearing_obsolete,360.0
2,0069925b,"universal cruise control 1""",1,18.99,nearing_obsolete,360.0
3,01-05040,lexin smart pump tire pump,3,85.99,non-essential,108.0
4,0136-0026,helmet service pad icon,2,29.99,non-essential,240.0
5,0301-0422,120/70zr17 (58w) roadtec z8,1,279.99,essential,72.0
6,0301-0717,120/70zr17 (58w) road 5 front,4,350.99,non-essential,480.0
7,0301-0763,150/80r17 72v av91 cobra chrom,2,654.99,essential,360.0
8,0301-0794,120/70zr17 (58w) battlax s22 f,2,312.99,nearing_obsolete,360.0
9,0301-0932,110/80zr19 (59w) road 6 front,1,381.99,nearing_obsolete,360.0
10,0301-0936,120/70zr19 (60w) road 6 front,11,435.99,essential,1320.0
11,0302-0850,180/55zr17 (73w) pilot road 4 gt,6,471.99,essential,540.0
12,0302-1007,190/55zr17 (75w) roadtec 01 (h,1,468.99,essential,180.0
13,0302-1098,180/60r16 80h elite 4 mt rear,3,547.99,nearing_obsolete,216.0
14,0302-1187,180/55zr17 (73w) road 5 rear,2,459.99,nearing_obsolete,180.0
15,0302-1211,180/55zr17 (73w) diablo rosso,1,383.99,nearing_obsolete,360.0
16,0302-1212,180/60zr17 (75w) diablo rosso,1,391.99,nearing_obsolete,360.0
17,0302-1265,240/50r16 84v av92 cobra chrom,2,917.99,essential,360.0
18,0302-1292,"240/45zr17,(82w),rosso 3,",3,502.99,essential,216.0
19,0302-1299,180/60r16 80h cruisetec rear,3,564.99,nearing_obsolete,216.0
20,0302-1400,180/55zr17 (73w) road 5 gt rea,8,489.99,nearing_obsolete,2880.0
21,0302-1562,160/60zr17 (69w) diablo rosso,1,382.99,non-essential,360.0
22,0302-1563,"180/55zr17,(73w),rosso,iv",3,393.99,nearing_obsolete,1080.0
23,0302-1569,150/70r17 69h road classic rear,3,392.99,nearing_obsolete,1080.0
24,0302-1575,170/60zr17 (72w) m+s mutant re,1,349.99,non-essential,72.0
25,0302-1608,170/60zr17 (72w) road 6 rear,11,501.99,essential,990.0
26,0302-1612,120/70zr17 (58w) road 6 gt fro,18,416.99,essential,405.0
27,0302-1613,180/55zr17 (73w) road 6 gt rea,10,523.99,nearing_obsolete,1200.0
28,0302-1615,190/55zr17 (75w) road 6 gt rea,7,570.99,essential,252.0
29,0305-0540,110/90-18 61h me888 marathon u,1,380.99,nearing_obsolete,360.0
30,0305-0662,130/60b19 66h cruisetec reinfo,3,326.99,nearing_obsolete,216.0
31,0305-0842,130/80b17 65h cruisetec (i) spec,1,411.99,essential,360.0
32,0306-0324,180/65b16 81h american elite m,2,521.99,nearing_obsolete,720.0
33,0306-0523,"180/55zr17,(73w),rosso 3",2,359.99,nearing_obsolete,360.0
34,0306-0658,150/80b16 77h cruisetec rear,3,401.99,non-essential,360.0
35,0306-0786,130/80-17 65h battlax bt46 rea,3,310.99,nearing_obsolete,360.0
36,0316-0192,120/70r19 60v tl/tt anakee 3 f,3,345.99,nearing_obsolete,1080.0
37,0316-0212,120/70r19 60v tkc70 front,6,361.99,non-essential,432.0
38,0316-0285,120/70r19 60v tourance front,2,362.99,nearing_obsolete,360.0
39,0316-0331,90/90-21 54v battlax adventure,1,252.99,nearing_obsolete,360.0
40,0316-0353,110/80r19 59v conti trail attack,1,385.99,nearing_obsolete,360.0
41,0316-0359,100/90-19 57v tl/tt anakee adv,1,350.99,nearing_obsolete,360.0
42,0316-0362,90/90-21 54v tl/tt anakee adve,4,345.99,nearing_obsolete,720.0
43,0316-0399,90/90-21 54t trailmax mission,6,250.99,nearing_obsolete,2160.0
44,0316-0400,110/80-19 59t trailmax mission,2,326.99,non-essential,360.0
45,0316-0401,120/70b19 60t trailmax mission,1,346.99,non-essential,360.0
46,0316-0459,100/90-19 57t trailmax mission,2,236.99,non-essential,360.0
47,0316-0586,120/70r19 60t karoo 4 front,3,392.99,nearing_obsolete,540.0
48,0317-0222,170/60r17 72v tl/tt anakee 3 r,3,414.99,nearing_obsolete,1080.0
49,0317-0242,150/70r17 69v tkc70 rear,1,458.99,nearing_obsolete,180.0
50,0317-0352,170/60-17 tourance,1,437.95,nearing_obsolete,180.0
51,0317-0354,170/60r17 72v scorpion trail 2,1,442.99,essential,120.0
52,0317-0445,150/70r17 69v conti trail atta,1,469.99,nearing_obsolete,360.0
