,part_number,description,quantity,price,roi
0,004-153,bearing ntn 6203llu/2a 40x17x12,1,9.99,-100.0
1,004hf113,hi-flo o-filt hon 15412-hm5-a1,1,4.99,-45.99
2,0069922bc,new style universal cruise ctr,1,18.99,0.11
3,0069925b,"universal cruise control 1""",1,18.99,0.11
4,01-0140,valve stem seal,8,5.99,-100.0
5,01-04249,shinko 804 big block 90/90-21,1,104.99,-100.0
6,010088hh,ebc pad fa88hhferodo 310-,2,64.99,-100.0
7,010095hh,ebc pad fa95hhferodo 310-,4,64.99,-100.0
8,010208r,ebc pad fa208rferodo 310-208r,1,59.99,-100.0
9,0106044hh,fa604/4hh 4/pcs,2,113.99,-100.0
10,0130-0866,i10/i70 pp dk smk shld,1,54.99,-100.0
11,0136-0024,helmet lock,1,47.95,-100.0
12,0136-0026,helmet service pad icon,2,29.99,-18.95
13,0136-0043,lock helmet ball reda,1,31.99,-100.0
14,0136-0047,"helmet lock extensions pr,",2,25.99,-100.0
15,0215-0058,25-1381 wheel bearing & seal k,1,33.99,-100.0
16,0215-0060,25-1389 wheel bearing & sealki,2,29.99,-100.0
17,0215-0248,25-1567 atv wheel bearing kit,1,46.99,-100.0
18,0301-0023,120/70zr17 58w u pilot power f,1,210.99,-100.0
19,0301-0053,120/70zr17 (58w) sport attack,1,186.99,-100.0
20,0301-0285,120/70zr17 58w pilot road 3 fr,1,305.99,-100.0
21,0301-0426,120/70zr18 (59w) angel gt fron,1,304.99,-100.0
22,0301-0557,120/70zr18 (59w) roadtec z8,2,296.99,-100.0
23,0301-0604,120/70zr17 (58w) roadtec 01,1,331.99,-100.0
24,0301-0629,120/60zr17 (55w) diablo rosso,1,281.99,-100.0
25,0301-0661,120/70zr19 60w roadtec 01 front,1,385.99,-100.0
26,0301-0717,120/70zr17 (58w) road 5 front,4,350.99,-21.14
27,0301-0763,150/80r17 72v av91 cobra chrom,2,654.99,13.96
28,0301-0764,130/70r18 63h av91 cobra chrom,1,507.99,-100.0
29,0301-0767,120/70zr19 (60w) av91 cobra ch,1,457.99,-100.0
30,0301-0794,120/70zr17 (58w) battlax s22 f,2,312.99,20.66
31,0301-0828,120/70r19 60v tl/tt commander iii,1,426.99,-100.0
32,0301-0892,120/70zr18 (59w) battlax st t32,1,341.99,-100.0
33,0301-0915,120/70zr17 (58w) m+s mutant,3,287.99,-100.0
34,0301-0932,110/80zr19 (59w) road 6 front,1,381.99,5.15
35,0301-0936,120/70zr19 (60w) road 6 front,11,435.99,-68.99
36,0302-0092,180/55zr17 (73w) sport attack,1,260.99,-100.0
37,0302-0163,160/60zr17 69w pilot power 2ct,1,312.99,-100.0
38,0302-0693,190/55zr17 (75w) roadtec z8 in,2,418.99,-100.0
