,part_number,description,quantity,price,inventory_category
0,004-153,bearing ntn 6203llu/2a 40x17x12,1,9.99,obsolete
1,01-0140,valve stem seal,8,5.99,obsolete
2,01-04249,shinko 804 big block 90/90-21,1,104.99,obsolete
3,010088hh,ebc pad fa88hhferodo 310-,2,64.99,obsolete
4,010095hh,ebc pad fa95hhferodo 310-,4,64.99,obsolete
5,010208r,ebc pad fa208rferodo 310-208r,1,59.99,obsolete
6,0106044hh,fa604/4hh 4/pcs,2,113.99,obsolete
7,0130-0866,i10/i70 pp dk smk shld,1,54.99,obsolete
8,0136-0024,helmet lock,1,47.95,obsolete
9,0136-0043,lock helmet ball reda,1,31.99,obsolete
10,0136-0047,"helmet lock extensions pr,",2,25.99,obsolete
11,0215-0058,25-1381 wheel bearing & seal k,1,33.99,obsolete
12,0215-0060,25-1389 wheel bearing & sealki,2,29.99,obsolete
13,0215-0248,25-1567 atv wheel bearing kit,1,46.99,obsolete
14,0301-0023,120/70zr17 58w u pilot power f,1,210.99,obsolete
15,0301-0053,120/70zr17 (58w) sport attack,1,186.99,obsolete
16,0301-0285,120/70zr17 58w pilot road 3 fr,1,305.99,obsolete
17,0301-0426,120/70zr18 (59w) angel gt fron,1,304.99,obsolete
18,0301-0557,120/70zr18 (59w) roadtec z8,2,296.99,obsolete
19,0301-0604,120/70zr17 (58w) roadtec 01,1,331.99,obsolete
20,0301-0629,120/60zr17 (55w) diablo rosso,1,281.99,obsolete
21,0301-0661,120/70zr19 60w roadtec 01 front,1,385.99,obsolete
22,0301-0764,130/70r18 63h av91 cobra chrom,1,507.99,obsolete
23,0301-0767,120/70zr19 (60w) av91 cobra ch,1,457.99,obsolete
24,0301-0828,120/70r19 60v tl/tt commander iii,1,426.99,obsolete
25,0301-0892,120/70zr18 (59w) battlax st t32,1,341.99,obsolete
26,0301-0915,120/70zr17 (58w) m+s mutant,3,287.99,obsolete
27,0302-0092,180/55zr17 (73w) sport attack,1,260.99,obsolete
28,0302-0163,160/60zr17 69w pilot power 2ct,1,312.99,obsolete
29,0302-0693,190/55zr17 (75w) roadtec z8 in,2,418.99,obsolete
30,0302-0711,190/55zr17tl (75w) supercorsa,1,603.99,obsolete
31,0302-0842,180/60r16 74h me888 marathon u,1,557.99,obsolete
32,0302-0847,190/50zr17 (73w) pilot road 4,1,454.99,obsolete
33,0302-0852,190/55zr17 (75w) pilot road 4,2,482.99,obsolete
34,0302-1053,200/55zr17 (78w) diablo rosso,2,473.99,obsolete
35,0302-1092,150/70r17 69v roadtec 01 rear,5,351.99,obsolete
36,0302-1185,150/70zr17 (69w) road 5 rear,1,407.99,obsolete
37,0302-1215,200/55zr17 (78w) diablo rosso,2,488.99,obsolete
38,0302-1217,180/55r17 73v scorpion rally s,1,525.99,obsolete
39,0302-1274,260/40r18 (84v) av92 cobra chr,1,654.99,obsolete
40,0302-1298,200/60zr17 (80w) diablo rosso,1,503.99,obsolete
41,0302-1350,190/55zr17 (75w) battlax s22 r,3,415.99,obsolete
42,0302-1406,225/50r15 76h kr20 kanine oe c,1,260.99,obsolete
43,0302-1409,180/55zr17 (73w) power 5 rear,1,397.99,obsolete
44,0302-1477,180/55zr17 (73w) roadtec 01 se,1,417.99,obsolete
45,0302-1479,190/55zr17 (75w) roadtec 01 se,1,464.99,obsolete
46,0302-1576,180/55zr17 (73w) m+s mutant,1,363.99,obsolete
47,0302-1577,190/55zr17 (75w) m+s mutant,1,405.99,obsolete
