,part_number,description,quantity,price,previous_month,previous_year,previous_month_sales,next_month,next_year,current_month_sales
0,11127674654,rubber bush,28,6.99,august,2023,56,december,2023,0
1,11127674654,rubber bush,28,6.99,november,2023,12,october,2023,0
2,11137676132,isa screw,5,2.99,february,2023,13,january,2023,0
3,11137676132,isa screw,5,2.99,july,2023,17,june,2023,0
4,11137676132,isa screw,5,2.99,may,2023,17,november,2023,0
5,11427673541,oil filter,139,33.99,september,2023,13,april,2024,0
6,11427721779,oil filter,346,33.99,january,2024,12,july,2024,0
7,11427721779,oil filter,346,33.99,september,2023,30,april,2024,0
8,12127726112,spark plug,41,28.99,april,2023,12,august,2023,0
9,12127726112,spark plug,41,28.99,may,2023,12,november,2023,0
10,12127728657,spark plug,58,35.99,august,2023,30,december,2023,0
11,12128560811,spark plug,33,35.99,august,2023,12,december,2023,0
12,153216,oil 4t sae 10w40 str synt 1l l,7,19.99,january,2024,12,july,2024,0
13,153307-l,"oil,4t,sae,15w50,full,syn",107,18.99,january,2024,15,july,2024,0
14,153307-l,"oil,4t,sae,15w50,full,syn",107,18.99,september,2023,106,april,2024,0
15,1550,bulk 1550,142,18.49,september,2023,42,april,2024,0
16,18217676551,securing nut,13,5.99,november,2023,12,october,2023,0
17,21212332469,inner hex bolt,24,3.99,june,2023,22,march,2023,0
18,27-l411,dot 3 & 4 (500ml) brk fluid,1,15.99,april,2023,18,august,2023,0
19,27-l411,dot 3 & 4 (500ml) brk fluid,1,15.99,may,2023,26,november,2023,0
20,2880016,"fluid-indian,brake dot 4,12 oz",53,14.99,march,2023,16,may,2023,0
21,2880016,"fluid-indian,brake dot 4,12 oz",53,14.99,september,2023,22,april,2024,0
22,33117695219,o-ring,172,1.99,august,2023,29,december,2023,0
23,33117695219,o-ring,172,1.99,september,2023,14,april,2024,0
24,33177709205,torx screw,25,2.99,august,2023,15,december,2023,0
25,33178358789,vent valve,15,4.5,september,2023,11,april,2024,0
26,34117709137,fillister head screw,46,5.99,october,2023,12,september,2023,0
27,3601-0595,(cs/12) 4-stroke 15w50 1l,4,15.99,september,2023,15,april,2024,0
28,3601-0605-l,"motorex,4t,15w50",70,17.99,february,2023,16,january,2023,0
29,3601-0605-l,"motorex,4t,15w50",70,17.99,september,2023,30,april,2024,0
