,part_number,description,quantity,price,special_orders_ytd,total_quantity_sold
0,0301-0767,120/70zr19 (60w) av91 cobra ch,1,457.99,1,0
1,0302-1406,225/50r15 76h kr20 kanine oe c,1,260.99,1,0
2,0306-0648,180/65b16 81h av92 cobra chrom,1,622.99,1,0
3,110083f,spr.av.bmw f800r 19t (61602-19),1,56.99,1,0
4,11141342980,"spark plug cover, right",1,21.99,1,0
5,12-0010,hyd.brake lt. switch 1.25,1,48.99,1,0
6,13549444919,fuel pipe,1,160.99,1,0
7,1521312,valve-rim,4,14.99,1,0
8,16111230031,rubber mounting,1,12.99,1,0
9,2040080-t0301,dust seal,1,24.99,1,0
10,22119446083,washer,1,7.99,1,0
11,22119446084,holder with rubber mounting,2,140.99,2,0
12,23007699377,collar bush,1,22.99,1,0
13,32727680378,self-locking hex nut,2,6.99,1,0
14,33532330374,hex bolt,1,7.99,1,0
15,36311242142,cap,1,15.99,1,0
16,4001-0129,dust cover - 2xl,1,72.99,1,0
17,566-11670,alu-rack to givi monolock,1,64.99,1,0
18,63127728409,grommet,1,13.99,1,0
19,65909457746,cover for mount cradle,1,15.99,1,0
20,706201411,kenda 165/65r14,2,169.99,2,0
21,76227922728,"boots, venturegrip gtx, blac",1,544.99,1,0
22,8035160,qualifier dlx cheek pads 30mm,1,27.95,1,0
23,841622,clip,1,2.99,1,0
24,876824,float chamber components,1,12.99,1,0
25,96781431a,ms950 top case cover set -,1,184.99,1,0
26,967893aaa,universal ducati performance,2,134.99,2,0
27,cm142101,max jet 72,1,15.99,1,0
28,cm142302,minimum jet,1,22.99,1,0
29,cm147102,needle,1,19.99,1,0
30,cm160102,pilot screw,1,18.99,1,0
31,cm160201,needle jet holder,1,12.99,1,0
32,t1129230,"piston assy,90,",3,224.99,3,0
33,t1149581,"gasket, tension",3,6.99,1,0
34,t1159033,"bolt, cylinder",8,7.99,8,0
35,t1186601,"washer, tab, sprocket",3,7.99,1,0
36,t1263900,"cover, alternat",1,188.99,1,0
37,t1263920,"gasket, alterna",2,25.99,1,0
38,t1268501,"seal, cam cover",3,34.99,1,0
39,t1268502,"seal, plug towe",3,6.99,1,0
40,t1269075,"cover,clutch,as",1,362.99,1,0
41,t1300095,"spares kit, regulator",1,513.99,1,0
42,t1300111,alternator stator,1,712.99,1,0
43,t2026221,master cylinder res,1,155.99,1,0
44,t2040331,"grip, rh throttle",1,19.99,1,0
45,t2041192,"grip,heated,lh",1,201.99,1,0
46,t2043732,"end weight, han",1,35.99,1,0
47,t2043946,"clutch lever,mc",1,80.99,1,0
48,t2060170,"mirror, lh",1,115.99,1,0
49,t2081573,"spring, sidestand",1,12.99,1,0
50,t2082014,"peg, spring retainer",1,11.99,1,0
51,t2082594,"control plate,",1,118.99,1,0
52,t2082647,"heelguard, rh",1,58.99,1,0
53,t2083341,"sidestand, leg",1,119.99,1,0
54,t2084060,"pin, pivot, sid",1,6.99,1,0
55,t2089505,"footrest,rear,l",1,59.99,1,0
56,t2089799,footrest rh,1,81.99,1,0
57,t2207016,"gasket, header casting",3,11.99,3,0
58,t2207531,"gasket, header",9,11.99,3,0
59,t2207588,"flange, exh gas",3,10.99,1,0
60,t2208499,"silencer, assy,",1,839.99,1,0
61,t2401865,"level sensor, f",1,268.99,1,0
62,t3053003,"screw,rh cap/hd",2,5.99,2,0
63,t3200148,"bolt, m6x30, silver",2,5.99,2,0
64,t3205067,"bolt, hhf, m6x25",4,2.99,2,0
65,t3205093,"bolt,hhf,lghtd,",2,6.99,2,0
66,t3205125,"bolt,rhhf,m6x1x",1,4.99,1,0
67,t3205132,"bolt,rhhf,m6x1x",28,4.99,20,0
68,t3205600,"bolt,hhf,lghtd,",14,1.99,14,0
69,t3330861,"bolt,shouldered",6,7.99,6,0
70,t3330958,"screw,but/hd,m5",1,0.99,1,0
71,t3350305,"locknut,flgd,m6",1,2.99,1,0
72,t3500190,"circlip,int,29,",1,2.99,1,0
73,t3555041,"washer,10,25x19",8,2.99,8,0
74,t3990216,"gasket kit, ful",1,495.99,1,0
75,t3990243,"gasket kit, clu",1,102.99,1,0
